Name      	Level	Lines count	Functions count
.         	1	1735	43
bin       	2	0	0
cmd       	2	0	0
test_copy 	3	0	0
docs      	2	0	0
examples  	2	0	0
Camunda8  	3	0	0
Contracts 	3	0	0
internal  	2	552	14
config    	3	54	3
constants 	3	6	0
logic     	3	154	5
postgres  	3	251	3
types     	3	43	0
pkg       	2	1183	29
graphml   	3	1183	29
settings  	2	0	0
test      	2	0	0
